code,description
596Z.,Short dist/contact radioth NOS
5A57.,Preload radioth.- resp.organs
7M0c0,Delivery fraction complex radiotherapy megavoltage machine
7L1d4,Electrochemotherapy
7M0ly,Other specified support for preparation for radiotherapy
5933.,Positron therapy
5A22.,Radioth.: infuse - head/neck
7L1Yz,Radiotherapy preparation NOS
5A77.,Radio-chem.: into cavity
595..,Gamma-ray+int.dist.curietherap
5A51.,Preload radioth.- orbit
5A17.,Combined internal radiotherapy
7L1iz,Preparation for brachytherapy NOS
7L1d2,Deliver simple parenteral chemother neoplas first attendance
U6033,[X] Adverse reaction to antineoplastic antibiotics NOS
7L2..,Radiotherapy
7L1hz,Preparation for external beam radiotherapy NOS
7M0c2,Delivery fraction radiotherapy superficial orthovoltage mach
7Q0J.,Other chemotherapy drugs
5932.,Betatron electron therapy
7M0p0,High dose rate brachytherapy
SL07.,Antineoplastic antibiotic poisoning
7Q0J2,Other specified other chemotherapy drugs
U6031,[X] Adverse reaction to fluorouracil
7L1X0,Vol def radioth imag intensity-modul radia ther (IMRT) dosim
D4003,Agranulocytosis due to irradiation
7L1h1,Preparation for total body irradiation
