code,description
BBgC.,"[M]Malignant lymphoma, lymphocytic, well differentiated NOS"
BBgD.,"[M]Malig lymphoma, lymphocytic, intermediate different NOS"
BBgE.,"[M]Malignant lymphoma, centrocytic"
BBgF.,"[M]Malignant lymphoma, follicular centre cell, cleaved NOS"
BBgG.,"[M]Malignant lymphoma, lymphocytic, poorly different NOS"
BBgH.,[M]Prolymphocytic lymphosarcoma
BBgJ.,"[M]Malignant lymphoma, centroblastic type NOS"
BBgK.,"[M]Malig lymphoma, follicular centre cell, non-cleaved NOS"
BBgL.,"[M]Malignant lymphoma, small lymphocytic NOS"
BBgM.,"[M]Malignant lymphoma, small cleaved cell, diffuse"
BBgN.,"[M]Malign lymphoma,lymphocytic,intermediate differn, diffuse"
BBgP.,"[M]Malignant lymphoma, mixed small and large cell, diffuse"
BBgQ.,[M]Malignant lymphomatous polyposis
BBgR.,"[M]Malignant lymphoma, large cell, diffuse NOS"
BBgS.,"[M]Malignant lymphoma, large cell, cleaved, diffuse"
BBgT.,"[M]Malignant lymphoma, large cell, non-cleaved, diffuse"
BBgV.,"[M]Malignant lymphoma, small cell, non-cleaved, diffuse"
BBgz.,"[M]Lymphoma, diffuse or NOS"
BBh..,Reticulosarcoma morphology
BBh1.,"Reticulosarcoma, pleomorphic cell type"
BBh2.,"Reticulosarcoma, nodular"
BBj..,[M]Hodgkin's disease
BBj0.,[M]Hodgkin's disease NOS (& [lymphogranuloma malignant])
BBj1.,"[M]Hodgkin's disease, lymphocytic predominance"
BBj10,"[M]Hodgkin,s disease, lymphocytic predominance, diffuse"
BBj11,"[M]Hodgkin,s disease, lymphocytic predominance, nodular"
BBj2.,"[M]Hodgkin's disease, mixed cellularity"
BBj3.,"[M]Hodgkin's disease, lymphocytic depletion NOS"
BBj4.,"[M]Hodgkin's disease,lymphocytic depletion,diffuse fibrosis"
BBj5.,"[M]Hodgkin's disease, lymphocytic depletion, reticular type"
BBj6.,"[M]Hodgkin's disease, nodular sclerosis NOS"
BBj60,"[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predom"
BBj61,"[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity"
BBj62,"[M]Hodgkin's disease, nodular sclerosis, lymphocytic deplet"
BBj7.,"[M]Hodgkin's disease, nodular sclerosis, cellular phase"
BBj9.,[M]Hodgkin's granuloma
BBjA.,[M]Hodgkin's sarcoma
BBk..,"Lymphoma, nodular or follicular"
BBk0.,"[M]Malignant lymphoma, nodular NOS (& [Brill-Symmers dis])"
BBk1.,"[M]Malig lymphoma, mixed lymphocytic-histiocytic, nodular"
BBk2.,"[M]Malignant lymphoma, centroblastic-centrocytic, follicular"
BBk3.,"Malign lymphoma, lymphocytic, well differentiated, nodular"
BBk4.,"Malig lymphoma,lymphocytic,intermed differentiation,nodular"
BBk5.,"Malig lymphoma, follicular centre cell, cleaved, follicular"
BBk6.,"Malig lymphoma, lymphocytic, poorly differentiated, nodular"
BBk7.,"[M]Malignant lymphoma, centroblastic type, follicular"
BBk8.,"[M]Mal lymphoma, follic centre cell, non-cleaved, follicular"
BBkz.,"[M]Lymphoma, nodular or follicular NOS"
BBl..,[M]Mycosis fungoides
BBl1.,[M]Sezary's disease
BBlz.,[M]Mycosis fungoides NOS
BBm1.,[M]Malignant histiocytosis
BBm2.,[M]Histiocytic medullary reticulosis
BBm3.,[M]Letterer - Siwe disease
BBm4.,[M]True histiocytic lymphoma
BBm5.,[M] Peripheral T-cell lymphoma NOS
BBm6.,[M] Alpha heavy chain disease
BBm8.,[M] Angioimmunoblastic lymphadenopathy
BBmD.,[M] Cutaneous lymphoma
BBmE.,[M] Gamma heavy chain disease
BBmH.,[M] Large cell lymphoma
BBn..,[M]Plasma cell tumours
BBn0.,[M]Plasma cell myeloma
BBn2.,[M]Plasmacytoma NOS
BBn3.,"Plasma cell tumour, malignant"
BBnz.,[M]Plasma cell tumour NOS
BBp1.,Mast cell sarcoma
BBp2.,[M]Malignant mastocytosis
BBq..,[M]Burkitt's tumours
BBq0.,[M]Burkitt's tumour
BBqz.,[M]Burkitt's tumour NOS
BBr..,Leukaemia morphology
BBr0.,[M]Leukaemias unspecified
BBr00,[M]Leukaemia NOS
BBr01,[M]Acute leukaemia NOS
BBr02,[M]Subacute leukaemia NOS
BBr03,[M]Chronic leukaemia NOS
BBr04,[M]Aleukaemic leukaemia NOS
BBr0z,"[M]Leukaemia unspecified, NOS"
BBr1.,Compound leukaemias
BBr10,[M]Compound leukaemia
BBr1z,[M]Compound leukaemia NOS
BBr2.,[M]Lymphoid leukaemias
BBr20,[M]Lymphoid leukaemia NOS
BBr21,[M]Acute lymphoid leukaemia
BBr22,[M]Subacute lymphoid leukaemia
BBr23,[M]Chronic lymphoid leukaemia
BBr24,[M]Aleukaemic lymphoid leukaemia
BBr25,[M]Prolymphocytic leukaemia
BBr26,Burkitt's cell leukaemia
BBr27,[M]Adult T-cell leukaemia/lymphoma
BBr2z,[M]Other lymphoid leukaemia NOS
BBr3.,[M]Plasma cell leukaemias
BBr30,[M]Plasma cell leukaemia
BBr3z,[M]Plasma cell leukaemia NOS
BBr4.,[M]Erythroleukaemias
BBr40,[M]Erythroleukaemia
BBr41,Acute erythraemia
BBr42,[M]Chronic erythraemia
BBr4z,[M]Erythroleukaemia NOS
BBr50,[M]Lymphosarcoma cell leukaemia
BBr5z,[M]Lymphosarcoma cell leukaemia NOS
BBr6.,[M]Myeloid leukaemias
BBr60,[M]Myeloid leukaemia NOS
BBr61,[M]Acute myeloid leukaemia
BBr62,[M]Subacute myeloid leukaemia
BBr63,[M]Chronic myeloid leukaemia
BBr64,[M]Aleukaemic myeloid leukaemia
BBr65,[M]Neutrophilic leukaemia
BBr66,[M]Acute promyelocytic leukaemia
BBr67,[M]Acute myelomonocytic leukaemia
BBr68,[M]Chronic myelomonocytic leukaemia
BBr6z,[M]Other myeloid leukaemia NOS
BBr7.,[M]Basophilic leukaemias
BBr70,[M]Basophilic leukaemia
BBr7z,[M]Basophilic leukaemia NOS
BBr8.,[M]Eosinophilic leukaemias
BBr80,Eosinophilic leukaemia
BBr8z,[M]Eosinophilic leukaemia NOS
BBr9.,[M]Monocytic leukaemias
BBr90,[M]Monocytic leukaemia NOS
BBr91,[M]Acute monocytic leukaemia
BBr92,[M]Subacute monocytic leukaemia
BBr93,[M]Chronic monocytic leukaemia
BBr94,[M]Aleukaemic monocytic leukaemia
BBr9z,[M]Other monocytic leukaemia NOS
BBrA.,[M]Miscellaneous leukaemias
BBrA0,[M]Mast cell leukaemia
BBrA1,[M]Megakaryocytic leukaemia
BBrA2,Megakaryocytic myelosis
BBrA3,[M]Myeloid sarcoma
BBrA5,[M]Acute megakaryoblastic leukaemia
BBrA7,[M]Acute myelofibrosis
BBrA8,[M]Leukaemic reticuloendotheliosis
BBrAz,[M]Miscellaneous leukaemia NOS
BBs..,[M]Misc myeloproliferative and lymphoproliferative disorders
BBs1.,[M]Acute panmyelosis
BBv0.,[M]Monocytoid B-cell lymphoma
BBv2.,[M]AngiocentricT-cell lymphoma
ByuD.,"[X]Malignant neoplasms of lymphoid, haematopoietic and rela"
ByuD0,[X]Other Hodgkin's disease
ByuD1,[X]Other types of follicular non-Hodgkin's lymphoma
ByuD2,[X]Other types of diffuse non-Hodgkin's lymphoma
ByuD3,[X]Other specified types of non-Hodgkin's lymphoma
ByuD4,[X]Other malignant immunoproliferative diseases
ByuD5,[X]Other lymphoid leukaemia
ByuD6,[X]Other myeloid leukaemia
ByuD7,[X]Other monocytic leukaemia
ByuD8,[X]Other specified leukaemias
ByuD9,[X]Other leukaemia of unspecified cell type
ByuDA,"[X]Oth spcf mal neoplsm/lymphoid,haematopoietic+rltd tissue"
ByuDB,"[X]Mal neoplasm/lymphoid,haematopoietic+related tissu,unspcf"
ByuDC,"[X]Diffuse non-Hodgkin's lymphoma, unspecified"
ByuDE,[X]Unspecified B-cell non-Hodgkin's lymphoma
ByuH6,[X]Neoplasm/uncertn+unknwn behavior/oth myelodysplastic synd
C333.,Macroglobulinaemia
C3330,Waldenstrom's macroglobulinaemia
C3331,Alpha heavy chain disease
C3332,Gamma heavy chain disease
C333z,Macroglobulinaemia NOS
C37y0,Schuller-Christian syndrome
C37y1,Eosinophilic granuloma
C37y5,Histiocytosis X syndrome
C37y6,"Histiocytosis X , unspecified"
C37y7,"Histiocytosis, unspecified"
N3309,Osteoporosis in multiple myelomatosis
X00eT,Lymphoma of retina
X102I,Pulmonary histiocytosis X
X20E9,Langerhans' cell histiocytosis
X20HV,Lipochrome histiocytosis - familial
X30L7,Leukaemic infiltrate of kidney
X30L8,Lymphoma of kidney
X50BR,Lymphomatoid papulosis
X70LK,African Burkitt's lymphoma
X78e2,Leukaemia
X78hl,Cutaneous lymphoma
X78hm,Mycosis fungoides of skin
X78hn,Sezary's disease of skin
XE13I,(Plasma prot met dis: & [hyper/hypo prot]) or (Wald macrogl)
XE1vo,Malignant tumour of lymphoid haemopoietic and related tissue
XE1vp,Nodular lymphoma
XE1vq,Lymphoid and histiocytic malignancy NOS
XE1vr,Chronic erythraemia
XE1wd,"[M]Malignant lymphoma, mixed lymphocytic-histiocytic NOS"
XE1we,"[M]Lymphogranuloma, malignant"
XE1wf,"[M]Malignant lymphoma, nodular NOS"
XE20J,(Lymphatic tissue carcinoma) or (lymphoma)
XE20N,Multiple myeloma etc.
XE20P,(Plasma cell leukaemia) or (immunoprolif neoplasm NOS)
XE20R,Leukaemia: [lymphoid][monocytic][myeloid][specif cell type]
XE20T,Leukaemia - specif. cell NOS
XE20V,(Aleukaemic leukaemia) or (leukaemia - unspec cell NOS)
XE2bV,Malignant lymphoma - immunoblastic
XE2t9,"[X]Non-Hodgkin's lymphoma, unspecified type"
XE2vi,Acute erythraemia and erythroleukaemia
XM1FM,"Malign lymphoma - lymphocytic, intermediate differentiation"
XS5X2,Enteropathy associated T-cell lymphoma
Xa0DX,Gastric lymphoma
Xa0Dd,Lymphoma of intestine
Xa0E1,Primary cerebral lymphoma
Xa0QP,B-cell chronic lymphocytic leukaemia
Xa0QQ,B-cell chronic lymphocytic leukaemia variant
Xa0Ri,Malignant white blood cell disorder
Xa0Rk,T-cell chronic lymphocytic leukaemia
Xa0Rn,Chronic lymphocytic prolymphocytic leukaemia syndrome
Xa0Ro,Richter's syndrome
Xa0Rp,Splenic lymphoma with villous lymphocytes
Xa0S9,T-cell prolymphocytic leukaemia
Xa0SA,Hairy cell leukaemia variant
Xa0SB,Large granular lymphocytic leukaemia
Xa0SC,Lymphoma with spill
Xa0SD,B-cell acute lymphoblastic leukaemia
Xa0SE,Pre B-cell acute lymphoblastic leukaemia
Xa0SF,Common acute lymphoblastic leukaemia
Xa0SG,Null cell acute lymphoblastic leukaemia
Xa0SH,T-cell acute lymphoblastic leukaemia
Xa0SL,Light chain myeloma
Xa0SM,Heavy chain disease
Xa0SN,Non-secretory myeloma
Xa0SV,Juvenile chronic myeloid leukaemia
Xa0SX,Atypical chronic myeloid leukaemia
Xa0Sk,Acute myeloblastic leukaemia
Xa0Sl,Acute monoblastic leukaemia
Xa0Sm,Acute megakaryoblastic leukaemia
Xa0Sn,Acute eosinophilic leukaemia
Xa0So,Acute myelofibrosis
Xa0St,"Hodgkin's disease, lymphocytic predominance - nodular"
Xa0Su,"Hodgkin's disease, lymphocytic predominance - diffuse"
Xa0Sv,"Hodgkin's disease,nodular sclerosis-lymphocytic predominance"
Xa0Sw,"Hodgkin's disease, nodular sclerosis - mixed cellularity"
Xa0Sx,"Hodgkin's disease, nodular sclerosis - lymphocytic depletion"
Xa0Sy,B-cell lymphoma
Xa0Sz,Cutaneous/peripheral T-cell lymphoma
Xa0T0,Prethymic and thymic T-cell lymphoma/leukaemia
Xa0T1,Low grade B-cell lymphoma
Xa0T2,Diffuse low grade B-cell lymphoma
Xa0T3,High grade B-cell lymphoma
Xa0T4,Follicular low grade B-cell lymphoma
Xa0T5,B-cell prolymphocytic leukaemia
Xa0T7,Malignant lymphomatous polyposis
